Date/Time(PST),BATT(V),CHLOR-A(ug/L),COND(mS/cm),DO(mg/L),DO%(% Sat),pH(units),Temp(C)
2021-02-01 04:00:00,10.6,2.61,0.093,12.42,96.92,9.08,4.57
2021-02-01 03:00:00,,1.84,0.093,12.34,96.17,9.01,4.54
2021-02-01 02:00:00,,3.27,0.093,12.18,94.86,8.97,4.49
2021-02-01 01:00:00,,4.83,0.093,11.99,93.36,8.97,4.49
2021-02-01 00:00:00,,4.95,0.093,11.87,92.53,8.92,4.53
2021-01-31 23:00:00,,4.81,0.094,11.89,92.68,8.92,4.53
2021-01-31 22:00:00,,6.37,0.094,11.98,93.47,8.99,4.57
2021-01-31 21:00:00,,5.01,0.093,11.96,93.36,8.99,4.58
2021-01-31 20:00:00,,5,0.093,11.94,93.11,8.9,4.54
2021-01-31 19:00:00,,5.1,0.093,11.99,93.33,9.04,4.47
2021-01-31 18:00:00,,4.9,0.092,11.99,93.25,9.02,4.45
2021-01-31 17:00:00,,5.13,0.092,12.05,93.72,8.9,4.44
2021-01-31 16:00:00,10.83,4.58,0.092,12.06,93.91,8.93,4.49
2021-01-31 15:00:00,,4.15,0.093,12,93.59,8.91,4.55
2021-01-31 14:00:00,,4.27,0.093,11.97,93.39,8.94,4.56
2021-01-31 13:00:00,,4.31,0.092,12.02,93.74,8.98,4.56
2021-01-31 12:00:00,,4.23,0.092,12.01,93.36,8.97,4.43
2021-01-31 11:00:00,,4.33,0.092,12.01,93.32,8.95,4.4
2021-01-31 10:00:00,,4.41,0.093,12.05,93.74,8.94,4.45
2021-01-31 09:00:00,,4.17,0.093,12.08,93.99,9.03,4.48
2021-01-31 08:00:00,,4.01,0.092,12.14,94.5,8.99,4.48
2021-01-31 07:00:00,,4.44,0.092,12.13,94.39,9.07,4.49
2021-01-31 06:00:00,,3.42,0.092,12.15,94.44,9.02,4.45
2021-01-31 05:00:00,,3.33,0.092,12.18,94.69,9,4.43
2021-01-31 04:00:00,10.83,4.19,0.092,12.01,93.4,8.93,4.45
2021-01-31 03:00:00,,7.56,0.092,12,93.27,8.94,4.44
2021-01-31 02:00:00,,4.23,0.092,12,93.19,8.91,4.41
2021-01-31 01:00:00,,4.27,0.092,11.99,93.05,8.93,4.38
2021-01-31 00:00:00,,4.17,0.091,12,92.82,8.97,4.23
2021-01-30 23:00:00,,4.1,0.092,12,92.81,8.9,4.24
2021-01-30 22:00:00,,4.22,0.091,11.98,92.69,8.92,4.27
2021-01-30 21:00:00,,4.25,0.091,11.94,92.47,8.89,4.29
2021-01-30 20:00:00,,4.18,0.091,12.03,93.05,8.91,4.24
2021-01-30 19:00:00,,5.08,0.091,12,92.75,8.97,4.22
2021-01-30 18:00:00,,4.29,0.091,12.03,92.93,8.93,4.18
2021-01-30 17:00:00,,4.57,0.09,12.05,93.12,8.9,4.21
2021-01-30 16:00:00,11.07,4.47,0.091,12.05,93.19,8.93,4.23
2021-01-30 15:00:00,,4.29,0.091,12.04,92.86,8.97,4.14
2021-01-30 14:00:00,,4.45,0.091,12.09,93.84,8.95,4.36
2021-01-30 13:00:00,,4.38,0.092,11.99,93.18,8.94,4.41
2021-01-30 12:00:00,,4.4,0.091,12.14,94.27,8.94,4.39
2021-01-30 11:00:00,,10.96,0.091,12.1,93.95,8.95,4.37
2021-01-30 10:00:00,,4.56,0.091,12.1,93.98,8.97,4.4
2021-01-30 09:00:00,,4.45,0.09,12.18,94.41,9.01,4.33
2021-01-30 08:00:00,,4.07,0.091,12.19,94.36,8.96,4.28
2021-01-30 07:00:00,,1.89,0.09,12.23,94.26,9.04,4.1
2021-01-30 06:00:00,,3.06,0.09,12.24,94.34,8.98,4.12
2021-01-30 05:00:00,,1.97,0.089,12.26,94.2,9.04,4
2021-01-30 04:00:00,11.07,2.05,0.089,12.42,95.07,9.01,3.85
2021-01-30 03:00:00,,4,0.089,12.22,93.97,8.94,4.01
2021-01-30 02:00:00,,4.15,0.09,12.14,93.31,8.92,4
2021-01-30 01:00:00,,4.02,0.089,12.08,92.66,8.91,3.93
2021-01-30 00:00:00,,4.23,0.089,12.05,92.67,8.94,4.03
2021-01-29 23:00:00,,4.12,0.09,11.99,92.29,8.94,4.06
2021-01-29 22:00:00,,4.55,0.089,12.02,92.62,8.94,4.1
2021-01-29 21:00:00,,4.2,0.089,12.04,92.56,8.93,3.99
2021-01-29 20:00:00,,4.75,0.088,12.14,93.13,8.92,3.94
2021-01-29 19:00:00,,4.24,0.088,12.09,92.72,8.93,3.93
2021-01-29 18:00:00,,5.93,0.088,12.15,93.29,8.89,3.95
2021-01-29 17:00:00,,4.35,0.088,12.16,93.36,8.93,3.96
2021-01-29 16:00:00,11.07,4.74,0.088,12.17,93.57,8.94,4.01
2021-01-29 15:00:00,,4.01,0.088,12.15,93.4,8.97,4.02
2021-01-29 14:00:00,,5.48,0.089,12.1,93.05,9.02,4.01
2021-01-29 13:00:00,,5.57,0.088,12.19,93.89,9.04,4.07
2021-01-29 12:00:00,,4.91,0.088,11.99,92,9.23,3.95
2021-01-29 11:00:00,,4.02,0.088,12.06,92.49,9,3.91
2021-01-29 10:00:00,,4.15,0.088,12.1,92.77,8.92,3.91
2021-01-29 09:00:00,,3.92,0.088,12.23,93.77,9.05,3.92
2021-01-29 08:00:00,,3.45,0.087,12.3,94.18,8.97,3.86
2021-01-29 07:00:00,,3.52,0.087,12.52,95.77,8.81,3.83
2021-01-29 06:00:00,,2.51,0.087,12.65,96.72,8.84,3.81
2021-01-29 05:00:00,,3.04,0.087,12.5,95.59,9.02,3.82
2021-01-29 04:00:00,11.07,3.45,0.086,12.33,94.07,8.96,3.71
2021-01-29 03:00:00,,3.6,0.086,12.36,94.38,9.23,3.74
2021-01-29 02:00:00,,4.23,0.087,12.18,92.94,8.94,3.73
2021-01-29 01:00:00,,4.54,0.087,12.08,92.23,8.82,3.74
2021-01-29 00:00:00,,4.21,0.087,12.04,92.04,8.89,3.79
2021-01-28 23:00:00,,4.31,0.087,12.09,92.35,8.92,3.78
2021-01-28 22:00:00,,4.44,0.087,12.11,92.67,8.89,3.82
2021-01-28 21:00:00,,4.51,0.087,12.02,91.76,8.9,3.73
2021-01-28 20:00:00,,4.28,0.087,12.09,92.28,8.9,3.74
2021-01-28 19:00:00,,6.4,0.088,12.13,92.89,8.87,3.85
2021-01-28 18:00:00,,4.14,0.087,12.1,92.46,8.92,3.78
2021-01-28 17:00:00,,4.55,0.087,12.13,92.82,8.93,3.83
2021-01-28 16:00:00,11.07,4.46,0.086,12.15,92.88,8.9,3.79
2021-01-28 15:00:00,,4.46,0.086,12.18,93.12,8.9,3.8
2021-01-28 14:00:00,,9.52,0.087,12.25,93.49,9,3.73
2021-01-28 13:00:00,,4.22,0.086,12.27,93.74,8.98,3.77
2021-01-28 12:00:00,,4.25,0.086,12.2,93.11,8.96,3.74
2021-01-28 11:00:00,,4.35,0.086,12.26,93.58,8.96,3.74
2021-01-28 10:00:00,,4.14,0.086,12.15,92.81,8.91,3.75
2021-01-28 09:00:00,,4.18,0.086,12.26,93.64,8.94,3.75
2021-01-28 08:00:00,,3.85,0.086,12.33,94.01,8.98,3.7
2021-01-28 07:00:00,,2.42,0.085,12.46,94.85,9.07,3.65
2021-01-28 06:00:00,,1.76,0.084,12.56,95.62,9.03,3.63
2021-01-28 05:00:00,,1.71,0.085,12.52,95.19,9.08,3.6
2021-01-28 04:00:00,11.3,2.1,0.085,12.57,95.49,8.98,3.55
2021-01-28 03:00:00,,1.94,0.085,12.45,94.5,8.98,3.52
2021-01-28 02:00:00,,3.41,0.085,12.3,93.3,8.94,3.51
2021-01-28 01:00:00,,4.64,0.085,12.23,92.73,8.92,3.47
2021-01-28 00:00:00,,4.73,0.086,12.14,92.2,8.9,3.54
2021-01-27 23:00:00,,4.85,0.085,12.14,92.2,8.88,3.54
2021-01-27 22:00:00,,4.72,0.086,12.16,92.51,8.87,3.61
2021-01-27 21:00:00,,4.54,0.085,12.17,92.48,8.89,3.56
2021-01-27 20:00:00,,4.67,0.085,12.17,92.49,8.86,3.58
2021-01-27 19:00:00,,4.81,0.085,12.2,92.8,8.89,3.62
2021-01-27 18:00:00,,4.62,0.084,12.23,92.89,8.94,3.55
2021-01-27 17:00:00,,4.63,0.084,12.23,92.86,8.8,3.55
2021-01-27 16:00:00,11.3,4.77,0.084,12.19,92.61,8.92,3.55
2021-01-27 15:00:00,,4.61,0.084,12.23,92.8,8.9,3.51
2021-01-27 14:00:00,,4.57,0.084,12.3,93.42,8.92,3.54
2021-01-27 13:00:00,,4.64,0.085,12.27,93.3,8.96,3.59
2021-01-27 12:00:00,,4.57,0.084,12.27,93.17,8.9,3.53
2021-01-27 11:00:00,,4.59,0.084,12.29,93.46,8.91,3.6
2021-01-27 10:00:00,,4.35,0.085,12.29,93.51,8.93,3.63
2021-01-27 09:00:00,,4.22,0.084,12.35,94.1,8.86,3.67
2021-01-27 08:00:00,,4.86,0.084,12.34,93.9,8.99,3.61
2021-01-27 07:00:00,,3.04,0.083,12.43,94.47,9.05,3.57
2021-01-27 06:00:00,,3.21,0.082,12.47,94.52,8.97,3.47
2021-01-27 05:00:00,,4.09,0.082,12.42,94.04,8.96,3.42
2021-01-27 04:00:00,11.3,4.32,0.082,12.49,94.25,9.02,3.32
2021-01-27 03:00:00,,3.94,0.082,12.36,93.37,8.96,3.36
2021-01-27 02:00:00,,4.83,0.082,12.32,93.03,8.97,3.34
2021-01-27 01:00:00,,5.06,0.082,12.27,93.02,8.94,3.48
2021-01-27 00:00:00,,1.95,0.084,12.02,91.18,8.81,3.5
2021-01-26 23:00:00,,1.92,0.083,12.14,92.11,8.81,3.51
2021-01-26 22:00:00,,1.9,0.083,12.21,92.62,8.79,3.5
2021-01-26 21:00:00,,1.9,0.084,12.05,91.38,8.78,3.48
2021-01-26 20:00:00,,1.89,0.083,12.15,92.29,8.81,3.57
2021-01-26 19:00:00,,1.88,0.083,12.11,92.1,8.8,3.61
2021-01-26 18:00:00,,1.9,0.082,12,91.2,8.8,3.57
2021-01-26 17:00:00,,1.88,0.082,12.13,92.12,8.8,3.56
2021-01-26 16:00:00,11.3,1.94,0.082,12.15,92.48,8.81,3.62
2021-01-26 15:00:00,,1.9,0.082,12.11,91.95,8.8,3.56
2021-01-26 14:00:00,,1.92,0.082,12.24,92.98,8.81,3.56
2021-01-26 13:00:00,,1.92,0.082,12.17,92.4,8.78,3.53
2021-01-26 12:00:00,,2.02,0.082,12.02,91.27,8.78,3.55
2021-01-26 11:00:00,,1.93,0.083,12.18,92.63,8.8,3.61
2021-01-26 10:00:00,,2.01,0.082,12.29,93.68,8.83,3.68
2021-01-26 09:00:00,,1.68,0.081,12.37,94.22,8.86,3.65
2021-01-26 08:00:00,,1.5,0.081,12.68,96.38,8.91,3.57
2021-01-26 07:00:00,,0.99,0.08,13.01,98.89,9,3.57
2021-01-26 06:00:00,,1.4,0.08,13.03,98.88,8.92,3.52
2021-01-26 05:00:00,,1.65,0.081,12.61,95.58,8.85,3.48
2021-01-26 04:00:00,11.3,1.75,0.081,12.93,97.78,8.83,3.4
2021-01-26 03:00:00,,1.84,0.081,12.58,95.19,8.81,3.42
2021-01-26 02:00:00,,2.22,0.082,12.29,92.99,8.78,3.42
2021-01-26 01:00:00,,2.25,0.081,12.23,92.69,8.78,3.46
2021-01-26 00:00:00,,2.2,0.082,11.85,89.66,8.77,3.4
2021-01-25 23:00:00,,2.12,0.081,12.1,91.75,8.78,3.48
2021-01-25 22:00:00,,2.25,0.081,12.2,92.33,8.77,3.43
2021-01-25 21:00:00,,2.17,0.082,12.22,92.59,8.76,3.45
2021-01-25 20:00:00,,2.04,0.082,12.12,91.73,8.75,3.42
2021-01-25 19:00:00,,2.18,0.082,12.2,92.44,8.75,3.46
2021-01-25 18:00:00,,1.98,0.082,12.14,91.9,8.74,3.43
2021-01-25 17:00:00,,2.1,0.082,12.07,91.5,8.77,3.48
2021-01-25 16:00:00,11.3,2.06,0.082,12.17,92.17,8.77,3.46
2021-01-25 15:00:00,,2.11,0.082,12.22,92.71,8.76,3.53
2021-01-25 14:00:00,,2.08,0.082,12.33,93.46,8.79,3.47
2021-01-25 13:00:00,,2.04,0.081,12.22,92.62,8.76,3.47
2021-01-25 12:00:00,,1.98,0.082,11.94,90.55,8.75,3.49
2021-01-25 11:00:00,,2.11,0.082,12,91.01,8.74,3.51
2021-01-25 10:00:00,,2.02,0.081,11.94,90.63,8.75,3.52
2021-01-25 09:00:00,,1.96,0.081,12.37,93.88,8.82,3.52
2021-01-25 08:00:00,,1.94,0.08,12.52,94.87,8.83,3.47
2021-01-25 07:00:00,,1.71,0.079,12.69,96.22,8.86,3.47
2021-01-25 06:00:00,,1.41,0.079,13.34,100.92,8.91,3.4
2021-01-25 05:00:00,,1.37,0.08,13,98.25,8.88,3.37
2021-01-25 04:00:00,11.3,1.74,0.08,12.97,98,8.83,3.35
2021-01-25 03:00:00,,1.89,0.08,12.62,95.35,8.79,3.35
2021-01-25 02:00:00,,2.05,0.081,12.32,93.1,8.76,3.35
2021-01-25 01:00:00,,2.1,0.081,12.21,92.24,8.73,3.35
2021-01-25 00:00:00,,2.33,0.081,12.15,91.85,8.76,3.37
2021-01-24 23:00:00,,2.23,0.081,12.06,91.14,8.73,3.37
2021-01-24 22:00:00,,2.19,0.081,12.09,91.42,8.74,3.39
2021-01-24 21:00:00,,2.35,0.08,12.07,91.33,8.75,3.4
2021-01-24 20:00:00,,2.25,0.08,12.24,92.67,8.76,3.43
2021-01-24 19:00:00,,2.26,0.08,12.16,92.06,8.74,3.44
2021-01-24 18:00:00,,2.18,0.079,12.23,92.56,8.74,3.41
2021-01-24 17:00:00,,2.29,0.08,12.28,92.92,8.72,3.42
2021-01-24 16:00:00,11.3,2.35,0.08,12.16,91.99,8.74,3.41
2021-01-24 15:00:00,,2.18,0.08,12.11,91.62,8.73,3.41
2021-01-24 14:00:00,,2.18,0.079,12.28,92.95,8.74,3.41
2021-01-24 13:00:00,,2.24,0.08,12.33,93.32,8.76,3.43
2021-01-24 12:00:00,,2.29,0.08,12.24,92.75,8.73,3.46
2021-01-24 11:00:00,,2.31,0.08,12.33,93.38,8.73,3.46
2021-01-24 10:00:00,,2.4,0.08,12.27,93.03,8.76,3.5
2021-01-24 09:00:00,,2.25,0.08,12.24,92.93,8.74,3.55
2021-01-24 08:00:00,,2.12,0.08,12.58,95.37,8.77,3.5
2021-01-24 07:00:00,,2.13,0.079,12.53,95.06,8.76,3.51
2021-01-24 06:00:00,,2.19,0.079,12.64,95.96,8.78,3.53
2021-01-24 05:00:00,,2.11,0.079,12.54,95.15,8.79,3.52
2021-01-24 04:00:00,11.3,2.23,0.079,12.54,95.16,8.75,3.51
2021-01-24 03:00:00,,2.09,0.079,12.42,94.08,8.74,3.46
2021-01-24 02:00:00,,2.47,0.079,12.37,93.83,8.72,3.5
2021-01-24 01:00:00,,2.96,0.078,12.29,93.15,8.74,3.48
2021-01-24 00:00:00,,2.44,0.079,12.3,93.21,8.74,3.48
2021-01-23 23:00:00,,2.46,0.079,12.29,93.13,8.74,3.46
2021-01-23 22:00:00,,2.32,0.079,12.31,93.48,8.72,3.54
2021-01-23 21:00:00,,2.31,0.078,12.25,93.03,8.71,3.54
2021-01-23 20:00:00,,2.33,0.078,12.37,93.93,8.74,3.53
2021-01-23 19:00:00,,2.37,0.079,12.26,93.19,8.72,3.59
2021-01-23 18:00:00,,2.55,0.079,12.28,93.37,8.73,3.58
2021-01-23 17:00:00,,2.34,0.08,12.22,92.91,8.71,3.6
2021-01-23 16:00:00,11.3,2.33,0.08,12.01,91.42,8.7,3.63
2021-01-23 15:00:00,,2.43,0.079,12.2,92.94,8.73,3.66
2021-01-23 14:00:00,,2.4,0.079,12.12,92.34,8.71,3.65
2021-01-23 13:00:00,,2.37,0.079,12.22,93.04,8.73,3.66
2021-01-23 12:00:00,,2.47,0.079,12.19,93.03,8.72,3.74
2021-01-23 11:00:00,,2.47,0.079,12.3,93.93,8.75,3.75
2021-01-23 10:00:00,,2.53,0.078,12.34,94.22,8.75,3.76
2021-01-23 09:00:00,,2.33,0.078,12.43,94.95,8.77,3.78
2021-01-23 08:00:00,,2.36,0.078,12.61,96.17,8.8,3.69
2021-01-23 07:00:00,,1.55,0.078,12.69,96.61,8.82,3.64
2021-01-23 06:00:00,,2.21,0.078,12.81,97.59,8.81,3.68
2021-01-23 05:00:00,,2.08,0.077,13.18,100.52,8.8,3.71
2021-01-23 04:00:00,11.54,2.27,0.077,13.08,99.74,8.78,3.7
2021-01-23 03:00:00,,2.32,0.078,12.6,95.96,8.75,3.65
2021-01-23 02:00:00,,2.71,0.078,12.43,94.52,8.72,3.61
2021-01-23 01:00:00,,2.76,0.078,12.15,92.73,8.7,3.72
2021-01-23 00:00:00,,2.77,0.078,12.07,92.16,8.7,3.77
2021-01-22 23:00:00,,2.75,0.078,12.16,92.71,8.73,3.68
2021-01-22 22:00:00,,2.76,0.078,12.22,93.07,8.7,3.66
2021-01-22 21:00:00,,2.73,0.077,12.18,92.98,8.7,3.75
2021-01-22 20:00:00,,2.73,0.078,12.25,93.44,8.71,3.71
2021-01-22 19:00:00,,2.74,0.077,12.16,92.93,8.72,3.79
2021-01-22 18:00:00,,4.37,0.078,12.29,93.9,8.72,3.77
2021-01-22 17:00:00,,2.8,0.077,12.22,93.41,8.72,3.78
2021-01-22 16:00:00,11.54,2.86,0.078,12.24,93.46,8.71,3.76
2021-01-22 15:00:00,,2.92,0.077,12.23,93.83,8.72,3.93
2021-01-22 14:00:00,,2.81,0.077,12.34,94.63,8.72,3.93
2021-01-22 13:00:00,,2.79,0.077,12.35,94.59,8.77,3.88
2021-01-22 12:00:00,,2.99,0.078,12.31,94.73,8.71,4.04
2021-01-22 11:00:00,,2.88,0.077,12.34,94.85,8.72,4.02
2021-01-22 10:00:00,,3.05,0.077,12.41,95.28,8.74,3.98
2021-01-22 09:00:00,,2.79,0.076,12.46,95.96,8.78,4.06
2021-01-22 08:00:00,,2.05,0.077,12.56,96.8,8.86,4.11
2021-01-22 07:00:00,,1.36,0.076,12.72,97.95,8.91,4.07
2021-01-22 06:00:00,,1.11,0.077,13.48,103.53,8.92,3.96
2021-01-22 05:00:00,,1.18,0.076,13.02,99.79,8.88,3.91
2021-01-22 04:00:00,11.54,1.44,0.076,13.19,101.05,8.83,3.87
2021-01-22 03:00:00,,2.15,0.076,13.14,100.64,8.77,3.86
2021-01-22 02:00:00,,2.76,0.076,12.71,97.4,8.73,3.89
2021-01-22 01:00:00,,3.09,0.077,12.28,94.09,8.69,3.88
2021-01-22 00:00:00,,3.1,0.077,12.15,93.09,8.7,3.88
2021-01-21 23:00:00,,3.14,0.077,12.22,93.82,8.68,3.96
2021-01-21 22:00:00,,3.24,0.077,12.29,94.38,8.71,3.96
2021-01-21 21:00:00,,3.18,0.077,12.36,94.78,8.71,3.91
2021-01-21 20:00:00,,3.86,0.076,12.31,94.65,8.67,4.02
2021-01-21 19:00:00,,3.1,0.076,12.42,95.57,8.74,4.04
2021-01-21 18:00:00,,3.19,0.077,12.39,95.43,8.77,4.09
2021-01-21 17:00:00,,3.11,0.076,12.39,95.65,8.76,4.18
2021-01-21 16:00:00,11.3,3.8,0.076,12.41,95.88,8.75,4.19
2021-01-21 15:00:00,,3.32,0.076,12.46,96.14,8.79,4.17
2021-01-21 14:00:00,,3.19,0.076,12.41,96.05,8.75,4.28
2021-01-21 13:00:00,,3.24,0.076,12.38,95.91,8.78,4.29
2021-01-21 12:00:00,,3.22,0.076,12.37,95.76,8.79,4.26
2021-01-21 11:00:00,,3.41,0.076,12.36,95.67,8.82,4.26
2021-01-21 10:00:00,,3.4,0.076,12.37,95.81,8.79,4.29
2021-01-21 09:00:00,,3.15,0.076,12.46,96.56,8.86,4.32
2021-01-21 08:00:00,,3.06,0.076,12.56,97.21,8.76,4.28
2021-01-21 07:00:00,,2.34,0.075,12.61,97.56,8.93,4.26
2021-01-21 06:00:00,,2.59,0.075,12.61,97.56,8.98,4.25
2021-01-21 05:00:00,,2.34,0.075,12.54,96.8,8.85,4.17
2021-01-21 04:00:00,11.54,2.13,0.075,12.54,96.67,8.91,4.12
2021-01-21 03:00:00,,2.47,0.075,12.56,96.81,8.85,4.12
2021-01-21 02:00:00,,3.17,0.075,12.48,96.18,8.81,4.11
2021-01-21 01:00:00,,3.1,0.075,12.44,95.89,8.75,4.12
2021-01-21 00:00:00,,3.22,0.076,12.42,95.6,8.72,4.06
2021-01-20 23:00:00,,3.2,0.075,12.38,95.58,8.73,4.18
2021-01-20 22:00:00,,3.2,0.075,12.35,95.51,8.78,4.25
2021-01-20 21:00:00,,3.19,0.076,12.34,95.17,8.77,4.13
2021-01-20 20:00:00,,3.28,0.075,12.33,95.35,8.79,4.23
2021-01-20 19:00:00,,3.29,0.076,12.36,95.63,8.8,4.27
2021-01-20 18:00:00,,3.35,0.075,12.47,96.35,8.79,4.19
2021-01-20 17:00:00,,3.4,0.075,12.34,95.63,8.7,4.31
2021-01-20 16:00:00,11.54,3.36,0.075,12.44,96.32,8.79,4.29
2021-01-20 15:00:00,,3.36,0.075,12.4,96.2,8.77,4.35
2021-01-20 14:00:00,,3.5,0.075,12.41,96.27,8.79,4.35
2021-01-20 13:00:00,,3.5,0.075,12.45,96.66,8.79,4.37
2021-01-20 12:00:00,,3.63,0.074,12.47,96.73,8.81,4.34
2021-01-20 11:00:00,,3.58,0.075,12.48,96.81,8.77,4.36
2021-01-20 10:00:00,,3.51,0.075,12.48,96.95,8.8,4.41
2021-01-20 09:00:00,,3.4,0.075,12.55,97.21,8.81,4.31
2021-01-20 08:00:00,,3.36,0.075,12.62,97.82,8.81,4.33
2021-01-20 07:00:00,,2.88,0.074,12.68,98.24,8.8,4.31
2021-01-20 06:00:00,,2.23,0.075,12.84,99.18,8.92,4.19
2021-01-20 05:00:00,,1.49,0.074,12.78,98.42,8.97,4.08
2021-01-20 04:00:00,11.54,3.55,0.074,12.59,97.08,8.84,4.13
2021-01-20 03:00:00,,3.25,0.074,12.59,97.18,8.81,4.17
2021-01-20 02:00:00,,3.6,0.074,12.67,97.68,8.81,4.11
2021-01-20 01:00:00,,4.41,0.074,12.46,96.18,8.76,4.17
2021-01-20 00:00:00,,3.9,0.074,12.41,95.87,8.75,4.2
2021-01-19 23:00:00,,4.05,0.074,12.39,95.86,8.76,4.24
2021-01-19 22:00:00,,4.05,0.075,12.33,95.36,8.75,4.24
2021-01-19 21:00:00,,4.12,0.075,12.39,96.1,8.73,4.36
2021-01-19 20:00:00,,4.02,0.074,12.39,96.22,8.78,4.39
2021-01-19 19:00:00,,4.06,0.074,12.4,96.29,8.75,4.38
2021-01-19 18:00:00,,4.14,0.074,12.4,96.37,8.78,4.43
2021-01-19 17:00:00,,4.13,0.074,12.47,96.73,8.74,4.34
2021-01-19 16:00:00,11.54,4.28,0.075,12.42,96.49,8.79,4.4
2021-01-19 15:00:00,,4.41,0.074,12.47,96.99,8.79,4.44
2021-01-19 14:00:00,,4.35,0.075,12.42,96.64,8.78,4.47
2021-01-19 13:00:00,,4.28,0.074,12.51,97.36,8.89,4.48
2021-01-19 12:00:00,,3.97,0.074,12.52,97.49,8.84,4.51
2021-01-19 11:00:00,,3.71,0.075,12.49,97.34,8.81,4.53
2021-01-19 10:00:00,,3.91,0.074,12.53,97.73,8.84,4.55
2021-01-19 09:00:00,,3.64,0.074,12.54,97.78,8.86,4.56
2021-01-19 08:00:00,,3.51,0.074,12.64,98.53,8.85,4.55
2021-01-19 07:00:00,,3.17,0.074,12.62,98.35,8.9,4.52
2021-01-19 06:00:00,,2.99,0.074,12.6,98.07,8.89,4.48
2021-01-19 05:00:00,,2.56,0.074,12.63,98.34,8.88,4.49
2021-01-19 04:00:00,11.54,2.08,0.074,12.75,99.19,8.92,4.45
2021-01-19 03:00:00,,2.99,0.074,12.74,98.98,8.8,4.43
2021-01-19 02:00:00,,3.35,0.075,12.47,96.7,8.74,4.35
2021-01-19 01:00:00,,3.42,0.074,12.39,96.29,8.76,4.43
2021-01-19 00:00:00,,3.4,0.074,12.36,96.02,8.76,4.4
2021-01-18 23:00:00,,3.59,0.075,12.39,96.27,8.77,4.43
2021-01-18 22:00:00,,3.44,0.074,12.34,95.95,8.74,4.45
2021-01-18 21:00:00,,3.51,0.074,12.38,96.34,8.77,4.47
2021-01-18 20:00:00,,3.56,0.074,12.37,96.37,8.76,4.53
2021-01-18 19:00:00,,3.63,0.074,12.42,96.88,8.78,4.58
2021-01-18 18:00:00,,3.7,0.075,12.4,96.69,8.74,4.56
2021-01-18 17:00:00,,3.82,0.074,12.39,96.8,8.78,4.62
2021-01-18 16:00:00,11.54,3.82,0.075,12.4,96.87,8.78,4.63
2021-01-18 15:00:00,,3.83,0.075,12.36,96.66,8.79,4.66
2021-01-18 14:00:00,,3.81,0.075,12.46,97.41,8.75,4.67
2021-01-18 13:00:00,,3.81,0.076,12.4,97.13,8.79,4.74
2021-01-18 12:00:00,,3.64,0.075,12.48,97.84,8.66,4.77
2021-01-18 11:00:00,,3.73,0.075,12.41,97.49,8.8,4.83
2021-01-18 10:00:00,,3.81,0.075,12.4,97.46,8.78,4.84
2021-01-18 09:00:00,,3.67,0.075,12.5,98.34,8.82,4.89
2021-01-18 08:00:00,,3.57,0.075,12.53,98.6,8.84,4.9
2021-01-18 07:00:00,,2.04,0.074,12.57,98.86,8.89,4.88
2021-01-18 06:00:00,,1.5,0.075,12.63,99.09,8.79,4.79
2021-01-18 05:00:00,,2.75,0.074,12.63,98.86,8.76,4.69
2021-01-18 04:00:00,11.54,3.44,0.074,12.6,98.3,8.77,4.56
2021-01-18 03:00:00,,4.04,0.075,12.44,97.1,8.75,4.59
2021-01-18 02:00:00,,3.92,0.075,12.39,96.6,8.75,4.54
2021-01-18 01:00:00,,4.2,0.075,12.3,95.96,8.77,4.58
2021-01-18 00:00:00,,4.08,0.075,12.27,95.9,8.72,4.63
2021-01-17 23:00:00,,4.05,0.075,12.36,96.6,8.8,4.63
2021-01-17 22:00:00,,4.16,0.075,12.34,96.46,8.69,4.65
2021-01-17 21:00:00,,4.18,0.075,12.35,96.57,8.77,4.67
2021-01-17 20:00:00,,4.18,0.075,12.25,95.78,8.73,4.64
2021-01-17 19:00:00,,4.23,0.075,12.37,96.8,8.82,4.69
2021-01-17 18:00:00,,4.34,0.075,12.32,96.38,8.77,4.68
2021-01-17 17:00:00,,4.32,0.076,12.36,96.63,8.75,4.67
2021-01-17 16:00:00,11.54,4.23,0.076,12.37,96.83,8.69,4.69
2021-01-17 15:00:00,,4.8,0.075,12.38,96.87,8.83,4.69
2021-01-17 14:00:00,,4.32,0.075,12.38,96.93,8.8,4.71
2021-01-17 13:00:00,,4.43,0.076,12.38,96.96,8.83,4.72
2021-01-17 12:00:00,,4.43,0.076,12.39,97,8.8,4.71
2021-01-17 11:00:00,,4.45,0.075,12.41,97.26,8.85,4.74
2021-01-17 10:00:00,,4.46,0.075,12.34,96.69,8.79,4.75
2021-01-17 09:00:00,,4.31,0.076,12.42,97.36,8.78,4.75
2021-01-17 08:00:00,,4.16,0.076,12.43,97.25,8.82,4.68
2021-01-17 07:00:00,,4.35,0.076,12.43,97.29,8.8,4.7
2021-01-17 06:00:00,,4.23,0.076,12.43,97.24,8.81,4.69
2021-01-17 05:00:00,,4.26,0.077,12.42,97.12,8.77,4.66
2021-01-17 04:00:00,11.54,4.28,0.076,12.4,96.98,8.83,4.65
2021-01-17 03:00:00,,3.95,0.076,12.4,96.9,8.75,4.65
2021-01-17 02:00:00,,3.99,0.076,12.42,97.14,8.79,4.66
2021-01-17 01:00:00,,4.33,0.076,12.37,96.75,8.83,4.67
2021-01-17 00:00:00,,4.41,0.077,12.35,96.62,8.77,4.67
